Region,WeGlide,OpenAIP,OpenAIP ID,Launches,Wrong
AR,America Buenos,AMERICA,139515,170,
AR,Gonzalez Chavez,GONZALEZ CHAVES,139775,81,
AR,Azul Aerodromo,AZUL,139533,155,
AR,Zarate,ZARATE,140133,127,
AR,Laguna De Gomez,LAGUNA DE GOMEZ,139869,75,
AR,San Martin Mendoza,SAN MARTIN,140053,82,x
AR,Santa Rosa,SANTA ROSA,140065,13,
AR,San Juan Aeroclub,SAN JUAN AEROCLUB,140050,21,
AR,Rafaela,RAFAELA,139999,38,x
AR,Trenque Lauquen,TRENQUE LAUQUEN,140101,12,
AR,Alvear Aeroparque,ALVEAR AEROPARQUE,139513,22,
AR,Esperanza Santa,ESPERANZA,139695,27,x
AR,Bolivar,BOLIVAR,139556,72,
AR,Chos Malal,CHOS MALAL,139616,1,
AR,Jachal,CHAPELCO,139606,62,x
AR,Albatros,BARADERO,139541,37,x
AR,Canuelas,MANUEL AFONSO,139912,23,x
AR,Ceres,CERES,139600,2,x
AR,Nahuel Huapi,LAGO NAHUEL HUAPI,139868,10,
AR,Zapala,ZAPALA,140132,62,
AR,Pehuajó,COMODORO PEDRO ZANNI,139629,47,
AR,General Roca,GRAL ROCA,139779,1,x
AR,Villa Dolores,VILLA DOLORES,140120,55,
AR,Blondi Junin,BENITO JUAREZ,139551,8,x
AR,La Laja,LA LAJA,139841,0,
AR,Tandil My Eduard,TANDIL AEROCLUB,140083,6,x
AR,Valle Del Conlara,VALLE DEL CONLARA,140110,0,
AR,Elizalde,ELIZALDE,139693,6,
AR,Jorge Newbery,JORGE NEWBERY,139823,0,
AR,Pigue,PIGUE,139974,15,
AR,Asuncion Silvio,DON EMILIO,139663,6,x
AR,El Calafate,EL CALAFATE,139672,19,
AR,Jueraz Celman,JUAREZ CELMAN,139828,0,
AR,Giles San Andres,SAN ANDRES DE GILES,140035,2,
AR,Jose De San Martin,JOSE DE SAN MARTIN,139824,12,
AT-1,Pinkafeld,PINKAFELD,141950,1,
AT-1,Punitz-Güssingg,PUNITZ-GÜSSING,141951,0,
AT-2,Nötsch,NÖTSCH IM GAILTAL,141945,266,
AT-2,Feldkirchen,FELDKIRCHEN/OSSIACHER SEE,141947,154,
AT-2,Ferlach-Glainach,FERLACH-GLAINACH,141900,27,
AT-2,Friesach-Hirt,FRIESACH-HIRT,141897,10,
AT-2,Klagenfurt,KLAGENFURT,141923,1,
AT-2,Wolfsberg,WOLFSBERG,141996,0,
AT-3,Wiener Neustadt,WIENER NEUSTADT WEST,141994,79,
AT-3,Dobersberg,DOBERSBERG,141887,61,
AT-3,Tulln Langenlebarn,TULLN,141979,8,
AT-3,Krems-Langenlois,KREMS-LANGENLOIS,141925,7,
AT-3,Wiener Neustadt Ost,WIENER NEUSTADT OST,141993,1,
AT-3,Spitzerberg,SPITZERBERG,141968,0,
AT-3,Seitenstetten,SEITENSTETTEN,141967,0,
AT-3,Stockerau,STOCKERAU,141976,2,
